Date,Beras,Beras Kualitas Bawah I (kg),Beras Kualitas Bawah II (kg),Beras Kualitas Medium I (kg),Beras Kualitas Medium II (kg),Beras Kualitas Super I (kg),Beras Kualitas Super II (kg),Daging Ayam,Daging Ayam Ras Segar (kg),Daging Sapi,Daging Sapi Kualitas 1 (kg),Daging Sapi Kualitas 2 (kg),Telur Ayam,Telur Ayam Ras Segar(kg),Bawang Merah,Bawang Merah Ukuran Sedang (kg),Bawang Putih,Bawang Putih Ukuran Sedang (kg),Cabai Merah,Cabai Merah Besar (kg),Cabai Merah Keriting  (kg),Cabai Rawit,Cabai Rawit Hijau (kg),Cabai Rawit Merah (kg),Minyak Goreng,Minyak Goreng Curah (kg),Minyak Goreng Kemasan Bermerk 1 (kg),Minyak Goreng Kemasan Bermerk 2 (kg),Gula Pasir,Gula Pasir Kualitas Premium (kg),Gula Pasir Lokal (kg)
01/08/2017,11200,10150,9650,11250,11150,12750,12250,34100,34100,115150,118400,111550,22850,22850,33200,33200,33350,33350,32000,32250,31500,41050,34800,47550,13950,12250,15050,14350,14900,16800,13250
02/08/2017,11200,10150,9650,11250,11150,12750,12250,34150,34150,115150,118400,111550,22800,22800,32950,32950,33150,33150,32200,32700,31800,40600,34600,46650,13950,12250,15050,14350,14900,16800,13250
03/08/2017,11200,10150,9650,11250,11150,12700,12250,34250,34250,115250,118450,111700,22800,22800,32650,32650,33150,33150,32400,33050,31850,40350,34650,46050,13950,12250,15050,14350,14900,16800,13250
04/08/2017,11300,10150,10300,11250,11150,12750,12250,34300,34300,115000,118400,111200,22750,22750,32150,32150,33000,33000,32250,33150,31550,40500,34600,46550,13950,12200,15050,14350,14900,16800,13250
07/08/2017,11200,10150,9650,11250,11150,12750,12250,34350,34350,115300,118550,111700,22700,22700,31250,31250,32400,32400,32300,33000,31600,39500,34300,44900,13950,12200,15050,14350,14900,16800,13250
08/08/2017,11200,10150,9650,11200,11100,12750,12250,34350,34350,115000,118300,111250,22600,22600,31100,31100,31750,31750,32200,33050,31450,39050,33900,44400,13950,12200,15050,14350,14900,16800,13200
09/08/2017,11200,10150,9650,11250,11150,12750,12250,34300,34300,115100,118350,111450,22700,22700,30850,30850,31650,31650,31950,32800,31200,38050,33100,43000,13950,12200,15050,14350,14850,16750,13200
10/08/2017,11200,10150,9650,11250,11150,12700,12250,34450,34450,115050,118300,111450,22600,22600,30550,30550,31550,31550,31800,32600,31000,37750,33050,42500,13950,12150,15050,14350,14900,16800,13200
11/08/2017,11250,10200,9700,11300,11200,12750,12300,34500,34500,115100,118450,111350,22700,22700,30450,30450,31550,31550,32300,33000,31600,37500,33350,41750,13950,12150,15000,14350,14900,16750,13250
14/08/2017,11150,10150,9650,11200,11100,12650,12200,34300,34300,114850,118200,111100,22450,22450,29800,29800,31200,31200,31200,32050,30350,35250,31600,39100,13900,12200,15000,14300,14900,16800,13200
